  grade   sex    disadvg   ethnicty   tlimth  
      6   M      YES       HISPANIC       43  
      7   M      NO        BLACK          88  
      5   F      YES       HISPANIC       34  
      3   M      YES       HISPANIC       65  
      8   M      YES       WHITE          75  
      5   M      NO        BLACK          74  
      8   F      YES       HISPANIC       72  
      4   M      YES       BLACK          79  
      6   M      NO        WHITE          88  
      7   M      YES       HISPANIC       87  
      3   M      NO        WHITE          79  
      6   F      NO        WHITE          84  
      8   M      NO        WHITE          90  
      5   M      NO        WHITE          73  
      8   F      NO        WHITE          72  
      6   F      NO        BLACK          82  
      4   M      NO        WHITE          69  
      3   F      YES       HISPANIC       17  
      3   M      NO        HISPANIC       37  
      5   M      NO        WHITE          70  
      6   M      NO        WHITE          90  
      6   F      NO        WHITE          91  
      5   F      NO        WHITE          50  
      7   M      NO        WHITE          83  
      4   F      YES       BLACK          58  
      4   M      YES       HISPANIC       85  
      7   F      NO        WHITE          52  
      5   M      NO        WHITE          86  
      4   F      YES       BLACK          79  
      8   M      NO        WHITE          48  
      4   F      NO        BLACK          63  
      8   F      YES       WHITE          88  
      3   F      YES       HISPANIC       76  
      7   M      NO        WHITE          79  
      8   M      NO        WHITE          87  
      6   F      NO        HISPANIC       80  
      7   F      NO        WHITE          66  
      4   F      NO        WHITE          68  
      6   M      NO        WHITE          92  
      7   F      NO        WHITE          57  
      8   F      NO        WHITE          57  
      4   F      NO        WHITE          66  
      7   F      NO        BLACK          88  
      8   F      NO        BLACK          59  
      6   F      NO        WHITE          87  
      4   M      YES       BLACK          59  
      7   M      NO        WHITE          88  
      6   M      NO        HISPANIC       75  
      5   M      YES       HISPANIC       93  
      7   M      YES       BLACK          77  
      3   M      NO        WHITE          85  
      3   F      NO        WHITE          84  
      6   M      NO        WHITE          91  
      6   M      NO        WHITE          80  
      3   M      YES       BLACK          80  
      7   F      NO        WHITE          90  
      7   F      NO        BLACK          85  
      5   F      YES       HISPANIC       63  
      4   F      NO        WHITE          91  
      6   M      NO        BLACK          59  
      6   M      YES       WHITE          85  
      7   F      NO        OTHER          92  
      8   M      NO        HISPANIC       51  
      6   F      YES       OTHER          87  
      6   M      NO        WHITE          92  
      8   F      NO        WHITE          85  
      8   M      YES       BLACK          47  
      4   F      NO        WHITE          78  
      8   M      YES       HISPANIC       86  
      7   M      NO        WHITE          86  
      3   F      NO        BLACK          67  
      3   M      YES       BLACK          64  
      5   M      YES       HISPANIC       86  
      5   F      NO        WHITE          80  
      4   M      YES       BLACK          81  
      3   M      NO        WHITE          70  
      8   F      NO        WHITE          82  
      5   F      NO        WHITE          69  
      7   F      NO        WHITE          79  
      3   F      YES       BLACK          67  
      6   F      NO        WHITE          91  
      3   F      YES       HISPANIC       91  
      4   F      YES       HISPANIC       78  
      5   F      NO        WHITE          86  
      4   F      NO        WHITE          87  
      7   F      NO        WHITE          83  
      5   F      NO        WHITE          93  
      3   M      YES       BLACK          70  
      4   M      YES       BLACK          86  
      6   F      YES       BLACK          87  
      6   F      NO        WHITE          83  
      6   F      YES       BLACK          75  
      6   M      NO        WHITE          88  
      5   M      NO        WHITE          91  
      3   M      YES       HISPANIC       89  
      7   F      NO        WHITE          91  
      5   F      YES       WHITE          79  
      7   M      NO        WHITE          83  
      6   M      YES       HISPANIC       78  
      6   F      NO        WHITE          84  
